id,region,year,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price,manufacturer
7166,roanoke,2015,like new,4 cylinders,gas,155229,lien,automatic,fwd,full-size,sedan,black,va,8709,mitsubishi
7167,dallas / fort worth,2009,excellent,6 cylinders,gas,81219,clean,automatic,fwd,compact,SUV,black,tx,4869,chevrolet
7168,bend,2006,excellent,8 cylinders,gas,234550,clean,automatic,4wd,full-size,truck,black,or,4734,chevrolet
7169,fargo / moorhead,2006,fair,6 cylinders,gas,109347,clean,automatic,rwd,full-size,truck,green,mn,2896,ford
7170,rhode island,1971,fair,8 cylinders,gas,111321,clean,manual,rwd,full-size,coupe,green,ri,8833,chevrolet
7171,sarasota-bradenton,2015,excellent,4 cylinders,gas,-1,clean,automatic,fwd,full-size,sedan,black,fl,17697,chevrolet
7172,maine,2012,good,4 cylinders,gas,183908,clean,automatic,fwd,full-size,sedan,white,me,9258,ford
7173,baltimore,2009,like new,4 cylinders,gas,250926,clean,automatic,fwd,mid-size,SUV,white,md,6125,honda
7174,new york city,2016,good,4 cylinders,gas,109662,rebuilt,automatic,fwd,compact,sedan,custom,ny,5792,nissan
7175,seattle-tacoma,2013,excellent,6 cylinders,gas,103295,clean,automatic,4wd,full-size,pickup,red,wa,19444,ford
7176,knoxville,1989,excellent,6 cylinders,gas,73433,lien,automatic,fwd,compact,sedan,blue,tn,5842,bmw
7177,new york city,2015,excellent,8 cylinders,,119951,salvage,automatic,4wd,full-size,SUV,blue,ny,25607,volvo
7178,worcester / central MA,2012,excellent,4 cylinders,gas,8738,clean,automatic,4wd,mid-size,SUV,white,ma,14742,ford
7179,orange county,2005,excellent,6 cylinders,gas,80728,clean,automatic,fwd,mid-size,SUV,blue,ca,5013,ford
7180,boise,2019,like new,6 cylinders,gas,4012,clean,automatic,4wd,mid-size,SUV,black,,25159,jeep
7181,new hampshire,1998,excellent,8 cylinders,gas,167777,clean,automatic,4wd,full-size,pickup,black,,14281,ford
7182,green bay,2003,like new,6 cylinders,gas,239681,clean,manual,4wd,full-size,pickup,blue,wi,3781,ram
7183,las vegas,2009,excellent,6 cylinders,gas,111741,clean,automatic,rwd,mid-size,coupe,blue,nv,15579,bmw
7184,albany,2015,good,6 cylinders,gas,79364,,automatic,fwd,full-size,,white,ny,7475,ford
7185,buffalo,2000,excellent,8 cylinders,gas,71540,clean,manual,rwd,mid-size,convertible,white,,9471,pontiac
7186,los angeles,2012,excellent,6 cylinders,gas,76385,clean,other,4wd,full-size,truck,black,ca,18298,bmw
7187,nashville,2012,excellent,6 cylinders,gas,113309,clean,automatic,fwd,mid-size,SUV,white,tn,7547,subaru
7188,houston,2020,excellent,6 cylinders,gas,80333,clean,automatic,fwd,mid-size,SUV,white,tx,22244,nissan
7189,poconos,2009,excellent,4 cylinders,gas,67581,rebuilt,automatic,fwd,mid-size,sedan,black,pa,13907,kia
7190,kennewick-pasco-richland,2005,fair,4 cylinders,gas,122858,clean,automatic,fwd,mid-size,wagon,green,wa,3674,ford
7191,new york city,2013,excellent,4 cylinders,gas,78123,clean,automatic,fwd,compact,sedan,blue,ny,13291,honda
7192,lehigh valley,2004,excellent,6 cylinders,,107281,clean,automatic,fwd,mid-size,SUV,green,pa,3413,mitsubishi
7193,tampa bay area,2004,good,6 cylinders,gas,227162,clean,automatic,4wd,full-size,truck,silver,fl,3225,mercury
7194,houston,2009,good,4 cylinders,gas,289984,clean,manual,fwd,compact,hatchback,green,tx,3598,honda
7195,pittsburgh,2013,excellent,4 cylinders,gas,72024,rebuilt,automatic,fwd,mid-size,sedan,black,pa,13951,honda
7196,wichita,2006,excellent,6 cylinders,gas,37260,clean,automatic,rwd,mid-size,sedan,black,ks,16287,bmw
7197,orange county,1987,excellent,4 cylinders,gas,87144,clean,automatic,fwd,full-size,coupe,green,ca,7816,chevrolet
7198,phoenix,2016,excellent,6 cylinders,gas,95862,clean,automatic,rwd,mid-size,van,blue,az,15944,ford
7199,chicago,1999,excellent,6 cylinders,diesel,101584,clean,automatic,rwd,full-size,pickup,white,il,18928,ram
7200,ventura county,2015,excellent,3 cylinders,gas,119002,rebuilt,automatic,fwd,compact,SUV,black,ca,17478,ford
7201,san luis obispo,2013,like new,4 cylinders,gas,82034,salvage,automatic,fwd,full-size,sedan,black,ca,3821,mercury
7202,south florida,2006,excellent,6 cylinders,gas,107454,rebuilt,automatic,fwd,mid-size,SUV,black,fl,8657,lexus
7203,green bay,2009,good,6 cylinders,gas,127328,clean,automatic,4wd,full-size,SUV,red,wi,3668,jeep
7204,grand rapids,2016,excellent,6 cylinders,diesel,55653,rebuilt,manual,4wd,full-size,truck,white,,31726,ram
7205,philadelphia,2017,good,4 cylinders,gas,151448,clean,manual,fwd,compact,hatchback,silver,pa,7534,ford
7206,flint,2015,excellent,6 cylinders,diesel,15148,clean,automatic,4wd,full-size,truck,black,mi,42883,ram
7207,myrtle beach,2013,like new,4 cylinders,,73545,rebuilt,automatic,fwd,compact,sedan,blue,,20084,toyota
7208,rhode island,2014,excellent,6 cylinders,gas,89603,clean,automatic,4wd,full-size,SUV,black,ri,17442,bmw
7209,sacramento,2014,excellent,4 cylinders,gas,152538,clean,automatic,4wd,mid-size,sedan,black,ca,7965,toyota
7210,watertown,2016,like new,4 cylinders,gas,21844,clean,automatic,fwd,full-size,sedan,red,ny,31424,mitsubishi
7211,milwaukee,2004,fair,6 cylinders,gas,175344,clean,automatic,4wd,full-size,pickup,silver,,4104,gmc
7212,"washington, DC",2011,excellent,4 cylinders,gas,140544,rebuilt,automatic,fwd,mid-size,sedan,blue,dc,6702,honda
7213,deep east texas,2012,excellent,6 cylinders,gas,88978,clean,manual,rwd,mid-size,SUV,black,tx,9168,bmw
7214,rhode island,2002,good,4 cylinders,gas,131888,clean,automatic,4wd,full-size,SUV,green,,4059,ford
7215,orlando,2014,excellent,6 cylinders,gas,11558,clean,automatic,fwd,full-size,SUV,blue,,7184,chevrolet
7216,denver,2015,fair,4 cylinders,gas,154296,clean,automatic,fwd,compact,truck,silver,,3607,chevrolet
7217,new york city,2010,excellent,6 cylinders,,181788,clean,automatic,rwd,mid-size,SUV,silver,,14852,ford
7218,mobile,2015,good,8 cylinders,gas,153578,lien,automatic,fwd,full-size,SUV,black,al,9139,chevrolet
7219,fayetteville,2016,excellent,4 cylinders,gas,85902,clean,manual,fwd,compact,hatchback,green,nc,6071,volkswagen
7220,denver,2005,fair,6 cylinders,gas,152769,clean,manual,rwd,full-size,SUV,green,co,1422,jeep
7221,tucson,2017,excellent,6 cylinders,gas,117178,clean,automatic,rwd,full-size,van,green,az,5416,chevrolet
7222,nashville,2003,good,6 cylinders,gas,139510,clean,manual,fwd,compact,SUV,black,tn,4658,lincoln
7223,rochester,2011,excellent,6 cylinders,gas,140465,clean,manual,4wd,full-size,SUV,red,ny,11535,jeep
7224,florence,2003,excellent,6 cylinders,gas,29410,clean,automatic,rwd,mid-size,convertible,white,sc,21566,aston-martin
7225,orlando,2008,excellent,6 cylinders,gas,34412,clean,automatic,fwd,mid-size,sedan,silver,fl,7482,ford
7226,sarasota-bradenton,2013,excellent,4 cylinders,hybrid,77609,clean,automatic,fwd,mid-size,sedan,black,,5884,nissan
7227,detroit metro,2010,excellent,6 cylinders,gas,2337,clean,automatic,fwd,mid-size,truck,white,,11704,ford
7228,champaign urbana,2003,good,4 cylinders,gas,140622,clean,manual,fwd,mid-size,hatchback,green,il,1922,acura
7229,modesto,1979,fair,4 cylinders,gas,114099,clean,automatic,fwd,mid-size,coupe,green,ca,4851,nissan
7230,yakima,2007,excellent,8 cylinders,gas,141996,clean,automatic,rwd,full-size,SUV,white,wa,20596,ford
7231,fargo / moorhead,2017,like new,6 cylinders,gas,116193,clean,automatic,fwd,mid-size,SUV,blue,mn,16337,chevrolet
7232,orange county,2011,good,10 cylinders,diesel,95420,clean,automatic,rwd,full-size,truck,white,ca,32051,ford
7233,dayton / springfield,2008,excellent,6 cylinders,gas,164524,clean,automatic,4wd,full-size,pickup,blue,oh,19433,ram
7234,huntsville / decatur,2014,excellent,6 cylinders,gas,117303,rebuilt,automatic,fwd,mid-size,SUV,silver,al,7679,chevrolet
7235,south jersey,2000,excellent,4 cylinders,gas,192769,clean,automatic,fwd,mid-size,sedan,black,nj,3704,buick
7236,vermont,2014,excellent,6 cylinders,diesel,218841,clean,automatic,4wd,full-size,SUV,black,vt,9808,ram
7237,reno / tahoe,2003,like new,6 cylinders,gas,107707,clean,other,rwd,full-size,van,blue,ca,23941,jeep
7238,omaha / council bluffs,2007,good,6 cylinders,gas,173513,clean,automatic,fwd,full-size,van,black,ia,25448,chrysler
7239,albany,1996,excellent,8 cylinders,gas,137830,clean,automatic,4wd,full-size,pickup,black,ny,14861,ford
7240,medford-ashland,2013,excellent,6 cylinders,gas,56984,rebuilt,automatic,fwd,mid-size,coupe,grey,or,16237,bmw
7241,phoenix,2013,excellent,4 cylinders,gas,47440,clean,automatic,fwd,mid-size,SUV,grey,az,9710,dodge
7242,dallas / fort worth,2007,like new,4 cylinders,gas,99966,clean,automatic,fwd,full-size,sedan,red,,1970,nissan
7243,humboldt county,2008,excellent,6 cylinders,gas,113465,rebuilt,automatic,4wd,full-size,SUV,black,ca,8102,subaru
7244,bakersfield,2009,good,8 cylinders,gas,111182,clean,manual,4wd,full-size,truck,grey,,11017,ford
7245,central NJ,1996,good,4 cylinders,gas,141015,clean,automatic,fwd,mid-size,coupe,black,nj,4646,ford
7246,"washington, DC",2012,excellent,8 cylinders,diesel,83720,clean,automatic,4wd,full-size,truck,silver,dc,35759,ford
7247,tulsa,2013,fair,8 cylinders,gas,118237,clean,automatic,rwd,mid-size,SUV,silver,,8595,cadillac
7248,hawaii,2003,fair,4 cylinders,gas,191637,clean,automatic,fwd,full-size,sedan,blue,hi,5977,toyota
7249,"st louis, MO",2014,excellent,6 cylinders,gas,17638,clean,manual,4wd,full-size,SUV,white,mo,53630,gmc
7250,los angeles,2004,excellent,6 cylinders,gas,358900,rebuilt,manual,rwd,full-size,SUV,silver,,4455,ford
7251,fredericksburg,2004,good,6 cylinders,gas,50995,clean,automatic,4wd,full-size,pickup,black,va,26050,ford
7252,greenville / upstate,2012,like new,4 cylinders,gas,90643,clean,automatic,4wd,full-size,SUV,black,sc,15600,subaru
7253,central NJ,2000,excellent,6 cylinders,gas,85582,clean,automatic,fwd,mid-size,SUV,blue,nj,7545,honda
7254,las cruces,2012,good,4 cylinders,gas,152100,clean,automatic,fwd,mid-size,sedan,black,,12035,toyota
7255,colorado springs,2017,like new,4 cylinders,gas,53698,clean,automatic,fwd,mid-size,sedan,blue,co,2006,chrysler
7256,hudson valley,2010,excellent,8 cylinders,gas,98713,clean,automatic,4wd,full-size,pickup,black,ny,19136,ford
7257,syracuse,2008,excellent,4 cylinders,gas,154081,rebuilt,automatic,fwd,mid-size,sedan,silver,ny,5979,toyota
7258,"washington, DC",2013,excellent,6 cylinders,gas,73059,clean,manual,fwd,mid-size,sedan,silver,dc,9200,bmw
7259,lansing,2017,excellent,4 cylinders,gas,58152,rebuilt,manual,4wd,mid-size,pickup,white,mi,24631,toyota
7260,western massachusetts,2008,excellent,6 cylinders,gas,58386,clean,automatic,4wd,mid-size,SUV,black,ma,8792,ford
7261,"washington, DC",2009,excellent,6 cylinders,diesel,190648,clean,automatic,4wd,full-size,truck,black,dc,21111,ford
7262,mcallen / edinburg,2001,good,6 cylinders,gas,168986,clean,manual,fwd,mid-size,sedan,white,tx,7022,ford
7263,albuquerque,2018,like new,4 cylinders,gas,14187,rebuilt,automatic,fwd,mid-size,sedan,black,,3071,volkswagen
7264,atlanta,2016,excellent,6 cylinders,diesel,24601,clean,automatic,4wd,full-size,truck,black,,54054,chevrolet
7265,mcallen / edinburg,2005,fair,4 cylinders,gas,129672,,automatic,fwd,compact,,white,tx,3127,honda
7266,charlotte,2013,excellent,6 cylinders,gas,36416,clean,automatic,4wd,full-size,pickup,blue,nc,34910,ram
7267,austin,2004,excellent,4 cylinders,gas,149869,clean,automatic,fwd,mid-size,SUV,blue,tx,11375,honda
7268,fredericksburg,2013,good,6 cylinders,,111502,clean,automatic,4wd,full-size,pickup,silver,va,8461,ford
7269,chattanooga,2006,fair,6 cylinders,gas,254908,clean,automatic,fwd,mid-size,sedan,silver,tn,6793,toyota
7270,south jersey,2014,excellent,8 cylinders,gas,44471,clean,automatic,fwd,mid-size,sedan,black,nj,4789,ford
7271,bakersfield,2011,excellent,6 cylinders,gas,99882,clean,automatic,rwd,full-size,truck,white,ca,6506,ford
7272,milwaukee,2016,excellent,6 cylinders,gas,103720,clean,automatic,fwd,compact,SUV,blue,wi,6532,ford
7273,north platte,1964,fair,6 cylinders,gas,155358,clean,manual,fwd,mid-size,convertible,red,ne,4469,pontiac
7274,rhode island,2013,excellent,6 cylinders,gas,82544,clean,automatic,fwd,mid-size,coupe,silver,ri,9558,bmw
7275,hudson valley,1990,fair,8 cylinders,gas,113259,clean,automatic,4wd,full-size,pickup,green,ny,5989,chevrolet
7276,bakersfield,2013,excellent,4 cylinders,gas,109727,rebuilt,automatic,fwd,compact,sedan,black,ca,10547,bmw
7277,birmingham,2010,excellent,4 cylinders,gas,50877,clean,automatic,fwd,full-size,sedan,black,,3207,honda
7278,imperial county,2012,excellent,4 cylinders,gas,131190,clean,automatic,fwd,mid-size,sedan,grey,ca,7645,volkswagen
7279,albuquerque,2008,excellent,4 cylinders,gas,145118,salvage,manual,fwd,mid-size,SUV,silver,nm,15770,chevrolet
7280,florida keys,1995,fair,12 cylinders,gas,104021,clean,manual,rwd,full-size,coupe,orange,fl,6573,mercedes-benz
7281,central NJ,1996,excellent,6 cylinders,gas,106263,clean,automatic,rwd,full-size,van,white,nj,7226,chevrolet
7282,la crosse,2011,excellent,6 cylinders,gas,235325,clean,automatic,fwd,full-size,SUV,silver,wi,8660,bmw
7283,raleigh / durham / CH,2010,like new,6 cylinders,gas,77310,clean,automatic,fwd,mid-size,van,blue,,14354,chevrolet
7284,madison,2013,excellent,6 cylinders,gas,101108,rebuilt,automatic,rwd,mid-size,convertible,black,,17104,bmw
7285,central NJ,2010,excellent,6 cylinders,gas,82350,clean,automatic,4wd,mid-size,SUV,black,nj,36867,jeep
7286,denver,2019,excellent,4 cylinders,gas,31285,clean,automatic,4wd,full-size,SUV,silver,,30546,jeep
7287,memphis,2011,excellent,6 cylinders,gas,143888,clean,automatic,fwd,mid-size,SUV,blue,,17521,nissan
7288,upper peninsula,2004,excellent,8 cylinders,gas,101204,clean,automatic,4wd,full-size,pickup,green,mi,14421,chevrolet
7289,syracuse,2011,good,8 cylinders,gas,177650,clean,manual,4wd,full-size,truck,red,ny,23645,ram
7290,hattiesburg,2017,excellent,4 cylinders,gas,66732,clean,automatic,fwd,full-size,sedan,white,ms,5120,honda
7291,fayetteville,2014,excellent,4 cylinders,gas,128972,clean,automatic,fwd,full-size,SUV,blue,nc,20825,kia
7292,dallas / fort worth,2011,like new,4 cylinders,gas,151241,clean,automatic,fwd,full-size,coupe,silver,tx,8118,hyundai
7293,florence / muscle shoals,2007,fair,4 cylinders,gas,114874,clean,automatic,fwd,compact,sedan,green,al,4127,chevrolet
7294,eastern kentucky,2015,like new,4 cylinders,gas,41827,clean,automatic,fwd,full-size,sedan,black,ky,15772,ford
7295,new haven,2008,fair,8 cylinders,gas,135015,clean,manual,fwd,full-size,SUV,black,ct,2772,ford
7296,rochester,2016,excellent,6 cylinders,gas,95209,clean,automatic,fwd,full-size,SUV,white,ny,6281,nissan
7297,"washington, DC",1990,good,8 cylinders,diesel,119293,clean,automatic,4wd,full-size,truck,black,dc,3667,ford
7298,central NJ,2010,like new,6 cylinders,gas,77448,clean,automatic,fwd,full-size,SUV,black,nj,15831,honda
7299,albany,2011,excellent,6 cylinders,gas,189444,clean,automatic,fwd,mid-size,sedan,black,ny,7184,mercedes-benz
7300,knoxville,2010,like new,8 cylinders,diesel,54424,clean,automatic,4wd,full-size,pickup,black,,33631,gmc
7301,northwest CT,1993,fair,8 cylinders,gas,112740,parts only,manual,4wd,full-size,offroad,green,ct,13694,jeep
7302,gold country,2008,excellent,6 cylinders,gas,242705,clean,automatic,4wd,compact,SUV,white,ca,4414,jeep
7303,albany,1982,good,8 cylinders,gas,29868,clean,manual,rwd,compact,coupe,white,ny,7955,bmw
7304,knoxville,2017,excellent,6 cylinders,gas,146262,clean,automatic,4wd,full-size,SUV,black,tn,27418,jeep
7305,las vegas,2015,excellent,4 cylinders,gas,96518,clean,automatic,fwd,mid-size,sedan,silver,nv,11642,bmw
7306,sacramento,2013,excellent,4 cylinders,gas,127941,clean,automatic,fwd,mid-size,SUV,silver,,4528,lexus
7307,tampa bay area,2003,good,4 cylinders,gas,197763,clean,manual,rwd,full-size,sedan,green,fl,6025,toyota
7308,rhode island,2005,fair,8 cylinders,gas,173877,clean,automatic,fwd,full-size,SUV,green,ri,16267,chevrolet
7309,los angeles,2007,excellent,6 cylinders,gas,91974,clean,manual,rwd,mid-size,coupe,blue,ca,8457,bmw
7310,el paso,2012,excellent,4 cylinders,gas,106314,clean,automatic,fwd,mid-size,sedan,silver,tx,6750,volkswagen
7311,albany,1994,like new,8 cylinders,gas,121024,clean,other,4wd,full-size,pickup,black,ny,22995,ford
7312,helena,2005,fair,6 cylinders,gas,155477,clean,automatic,fwd,full-size,sedan,black,mt,5498,lincoln
7313,fresno / madera,2013,excellent,8 cylinders,gas,123136,clean,automatic,rwd,full-size,sedan,black,ca,4529,ford
7314,kennewick-pasco-richland,1979,excellent,6 cylinders,gas,3853,salvage,manual,rwd,mid-size,coupe,green,wa,13285,ford
7315,rhode island,2010,excellent,6 cylinders,gas,102762,clean,automatic,4wd,mid-size,SUV,black,ri,16493,bmw
7316,rhode island,2003,good,10 cylinders,gas,118070,,manual,4wd,full-size,,white,ri,7691,ford
7317,central NJ,1984,good,8 cylinders,gas,63233,clean,automatic,rwd,full-size,truck,white,nj,4715,chevrolet
7318,stockton,2007,excellent,6 cylinders,gas,154731,clean,automatic,4wd,mid-size,SUV,black,ca,21346,buick
7319,amarillo,2004,excellent,6 cylinders,gas,121299,clean,automatic,rwd,mid-size,sedan,silver,tx,5575,bmw
7320,oregon coast,2012,excellent,4 cylinders,gas,50654,clean,automatic,fwd,mid-size,sedan,grey,or,10442,bmw
7321,knoxville,2017,excellent,8 cylinders,diesel,15414,clean,automatic,4wd,full-size,truck,black,tn,23242,ram
7322,el paso,2006,excellent,6 cylinders,diesel,102925,clean,manual,4wd,full-size,pickup,red,tx,23365,ram
7323,ft myers / SW florida,2008,good,6 cylinders,gas,215760,clean,other,fwd,compact,SUV,silver,fl,1632,toyota
7324,east idaho,2013,excellent,8 cylinders,diesel,77906,rebuilt,automatic,4wd,full-size,truck,black,id,38533,ram
7325,mohave county,1998,excellent,8 cylinders,gas,224192,rebuilt,automatic,4wd,full-size,SUV,black,az,5483,jeep
7326,central NJ,2014,like new,4 cylinders,gas,61145,rebuilt,automatic,fwd,compact,sedan,silver,nj,7410,audi
7327,hawaii,2006,excellent,8 cylinders,diesel,93460,clean,automatic,4wd,full-size,pickup,green,hi,11708,ram
7328,norfolk / hampton roads,1998,fair,6 cylinders,gas,251859,clean,manual,4wd,full-size,SUV,brown,,1005,ford
7329,rhode island,2011,like new,6 cylinders,gas,135778,clean,automatic,fwd,mid-size,sedan,black,ri,6097,bmw
7330,tucson,2007,good,8 cylinders,gas,154954,clean,automatic,4wd,full-size,pickup,blue,az,18372,chevrolet
7331,new york city,2013,excellent,6 cylinders,gas,100524,clean,automatic,fwd,compact,SUV,black,ny,14110,kia
7332,williamsport,2015,excellent,4 cylinders,gas,13743,clean,automatic,fwd,mid-size,SUV,red,pa,10973,ford
7333,grand rapids,2003,good,8 cylinders,gas,64873,lien,automatic,4wd,full-size,pickup,black,,15741,ram
7334,des moines,2013,good,6 cylinders,gas,35475,salvage,automatic,fwd,full-size,truck,silver,ia,19258,chevrolet
7335,columbus,1990,good,8 cylinders,gas,113785,clean,manual,rwd,full-size,coupe,green,oh,5818,dodge
7336,new orleans,2013,excellent,6 cylinders,gas,93190,clean,manual,fwd,compact,coupe,black,la,6044,pontiac
7337,los angeles,2012,excellent,6 cylinders,gas,41209,clean,manual,rwd,mid-size,convertible,black,,43882,bmw
7338,syracuse,2012,excellent,6 cylinders,gas,171404,,automatic,4wd,full-size,,white,ny,4285,ford
7339,daytona beach,2010,excellent,6 cylinders,gas,127017,rebuilt,automatic,rwd,full-size,SUV,black,fl,27086,bmw
7340,albany,2011,good,6 cylinders,gas,105574,clean,automatic,rwd,full-size,SUV,black,ny,14638,bmw
7341,memphis,1938,good,6 cylinders,gas,93343,clean,automatic,rwd,full-size,coupe,red,tn,16321,ford
7342,albany,2014,good,4 cylinders,gas,57122,clean,other,fwd,full-size,hatchback,black,ny,7139,honda
7343,sarasota-bradenton,2000,good,6 cylinders,gas,199778,clean,automatic,fwd,full-size,SUV,silver,fl,3075,toyota
7344,omaha / council bluffs,2008,excellent,4 cylinders,gas,138143,clean,automatic,fwd,compact,sedan,grey,,6009,volkswagen
7345,inland empire,2010,excellent,8 cylinders,gas,48793,lien,automatic,4wd,full-size,truck,black,ca,16131,chevrolet
7346,"washington, DC",1992,excellent,8 cylinders,gas,102383,clean,manual,4wd,full-size,truck,black,dc,8951,ram
7347,east idaho,2013,excellent,6 cylinders,gas,126869,clean,automatic,fwd,mid-size,sedan,grey,id,10341,bmw
7348,fargo / moorhead,2012,excellent,6 cylinders,diesel,87907,clean,manual,4wd,full-size,truck,black,mn,39787,ram
7349,central NJ,2009,excellent,4 cylinders,gas,207727,rebuilt,automatic,fwd,mid-size,SUV,silver,nj,2112,buick
7350,rhode island,2013,excellent,6 cylinders,gas,61570,clean,automatic,4wd,full-size,SUV,blue,ri,4443,jeep
7351,orange county,1986,good,8 cylinders,gas,13736,clean,automatic,rwd,full-size,SUV,black,ca,28342,ford
7352,san diego,2009,like new,4 cylinders,gas,205849,clean,automatic,fwd,compact,sedan,grey,ca,1367,toyota
7353,sarasota-bradenton,1991,excellent,4 cylinders,gas,115420,clean,manual,fwd,mid-size,sedan,green,fl,5346,mercedes-benz
7354,indianapolis,2012,excellent,8 cylinders,diesel,89695,clean,automatic,4wd,full-size,pickup,black,in,27883,ford
7355,dayton / springfield,2013,good,8 cylinders,gas,81248,clean,automatic,rwd,full-size,sedan,blue,,8770,chevrolet
7356,lansing,2015,excellent,8 cylinders,diesel,16608,clean,manual,4wd,full-size,pickup,black,mi,62839,chevrolet
7357,milwaukee,2016,excellent,4 cylinders,gas,73598,clean,automatic,fwd,full-size,van,white,wi,23596,ford
7358,poconos,2004,fair,6 cylinders,gas,192048,clean,manual,fwd,mid-size,SUV,blue,pa,3655,acura
7359,rhode island,2009,excellent,6 cylinders,gas,116288,rebuilt,automatic,fwd,mid-size,sedan,black,ri,8479,bmw
7360,central NJ,1998,excellent,6 cylinders,gas,104531,clean,automatic,fwd,full-size,truck,white,nj,8681,ram
7361,humboldt county,2008,excellent,8 cylinders,gas,108296,clean,automatic,4wd,full-size,SUV,black,,26681,chevrolet
7362,new york city,2014,excellent,6 cylinders,gas,167832,salvage,automatic,fwd,mid-size,SUV,blue,ny,4599,subaru
7363,orange county,2015,excellent,4 cylinders,gas,51449,clean,manual,fwd,compact,sedan,silver,ca,20262,honda
7364,cleveland,2011,good,4 cylinders,diesel,104471,clean,other,fwd,full-size,sedan,blue,,6894,honda
7365,albany,1937,excellent,8 cylinders,gas,9928,rebuilt,automatic,rwd,full-size,coupe,white,ny,17506,ford
7366,san luis obispo,2009,excellent,4 cylinders,gas,64911,clean,automatic,fwd,mid-size,sedan,black,ca,13218,kia
7367,las vegas,2014,excellent,6 cylinders,gas,54611,clean,automatic,rwd,mid-size,SUV,silver,nv,31219,bmw
7368,fayetteville,2014,excellent,4 cylinders,gas,122351,rebuilt,automatic,fwd,mid-size,hatchback,black,nc,6441,volkswagen
7369,sacramento,2009,excellent,4 cylinders,,175318,clean,automatic,fwd,mid-size,sedan,blue,ca,3441,honda
7370,minneapolis / st paul,2012,excellent,8 cylinders,diesel,88674,rebuilt,automatic,4wd,full-size,truck,black,mn,41946,chevrolet
7371,central NJ,2013,excellent,6 cylinders,gas,122696,rebuilt,automatic,4wd,full-size,SUV,black,nj,9994,bmw
7372,south bend / michiana,2010,excellent,6 cylinders,gas,157064,parts only,automatic,fwd,full-size,SUV,grey,in,10320,toyota
7373,rochester,2015,excellent,8 cylinders,gas,35475,,automatic,4wd,full-size,,black,ny,32619,chevrolet
7374,roanoke,2017,excellent,8 cylinders,diesel,50175,clean,automatic,4wd,full-size,truck,grey,va,21583,ford
7375,albuquerque,1990,like new,4 cylinders,gas,166159,clean,manual,fwd,mid-size,wagon,green,nm,20799,subaru
7376,oregon coast,2012,good,4 cylinders,gas,159012,clean,automatic,fwd,full-size,sedan,brown,or,4523,honda
7377,dallas / fort worth,2014,like new,4 cylinders,gas,1835,clean,automatic,fwd,compact,sedan,black,tx,9065,kia
7378,southwest MN,2010,excellent,4 cylinders,gas,149731,clean,automatic,fwd,compact,hatchback,white,,5036,nissan
7379,palm springs,2016,excellent,6 cylinders,gas,67195,clean,automatic,rwd,mid-size,coupe,silver,ca,30075,bmw
7380,williamsport,2013,excellent,6 cylinders,gas,90636,clean,automatic,rwd,full-size,SUV,black,pa,3777,bmw
7381,wichita,2010,like new,4 cylinders,gas,49608,clean,automatic,4wd,compact,SUV,black,ks,20916,ford
7382,milwaukee,2012,excellent,6 cylinders,gas,8480,missing,automatic,4wd,full-size,pickup,blue,wi,25485,ford
7383,north jersey,2016,excellent,8 cylinders,gas,134514,clean,automatic,4wd,full-size,sedan,blue,nj,35648,chevrolet
7384,houston,2002,like new,4 cylinders,gas,174084,clean,automatic,fwd,full-size,SUV,red,tx,23481,cadillac
7385,central NJ,2010,excellent,6 cylinders,gas,96253,clean,automatic,rwd,mid-size,truck,brown,nj,19015,bmw
7386,dayton / springfield,2009,good,8 cylinders,diesel,47299,clean,automatic,4wd,full-size,truck,black,oh,25078,chevrolet
7387,duluth / superior,2015,excellent,4 cylinders,gas,92235,clean,automatic,fwd,mid-size,SUV,brown,mn,17044,bmw
7388,lansing,1984,like new,4 cylinders,gas,71914,clean,automatic,fwd,full-size,sedan,blue,mi,15150,volkswagen
7389,monterey bay,2014,excellent,4 cylinders,gas,88602,clean,automatic,fwd,mid-size,SUV,blue,ca,19438,kia
7390,pittsburgh,2016,like new,6 cylinders,,28648,clean,automatic,fwd,full-size,van,white,pa,12916,ford
7391,cleveland,2014,excellent,4 cylinders,gas,112583,clean,manual,fwd,mid-size,coupe,silver,,8130,toyota
7392,albany,2004,fair,4 cylinders,gas,205346,rebuilt,automatic,fwd,compact,sedan,silver,,1392,honda
7393,colorado springs,2010,excellent,8 cylinders,gas,119210,clean,automatic,4wd,full-size,SUV,black,co,24269,bmw
7394,kennewick-pasco-richland,2017,excellent,6 cylinders,gas,131378,clean,manual,4wd,full-size,truck,green,wa,43665,ram
7395,chattanooga,2005,fair,4 cylinders,gas,315912,clean,automatic,fwd,compact,sedan,green,tn,3015,toyota
7396,atlanta,2007,excellent,4 cylinders,gas,140477,clean,automatic,fwd,mid-size,sedan,black,ga,7863,chrysler
7397,albany,1990,good,6 cylinders,diesel,61448,clean,automatic,4wd,full-size,SUV,red,ny,15023,chevrolet
7398,rhode island,2008,excellent,6 cylinders,gas,126998,clean,automatic,rwd,mid-size,sedan,black,,5795,bmw
7399,central NJ,2013,excellent,4 cylinders,gas,105408,salvage,automatic,fwd,compact,sedan,silver,nj,6273,kia
7400,wichita,1996,good,6 cylinders,gas,147627,clean,automatic,4wd,full-size,truck,blue,ks,20581,ram
